編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLRLIIMFFBB08CB,坡道平面,1450000,32.26,
RPPOMLRLIIMFFBB77CB,坡道平面,1450000,32.26,
RPQOMLRLIIMFFBB87CB,坡道平面,1500000,32.26,
RPUOMLRLIIMFFBB28CB,坡道平面,1450000,32.26,
RPPQMLRLIIMFFBB97CB,坡道平面,1450000,32.27,
RPOQMLRLIIMFFBB87CB,坡道平面,1450000,32.26,
RPQQMLRLIIMFFBB08CB,坡道平面,1500000,32.26,
RPQQMLRLIIMFFBB08CB,坡道平面,1450000,30.32,
RPVNMLSLIIMFFBB38CB,坡道平面,1450000,32.26,
RPTNMLSLIIMFFBB18CB,坡道平面,1450000,32.26,
RPSOMLSLIIMFFBB18CB,坡道機械,850000,24.44,
RPSQMLRLIIMFFBB28CB,坡道平面,1400000,30.32,
RPSNMLSLIIMFFBB08CB,坡道平面,1450000,30.30,
RPRNMLSLIIMFFBB97CB,坡道機械,850000,24.45,
RPUNMLSLIIMFFBB28CB,坡道平面,1450000,32.27,
RPQOMLSLIIMFFBB97CB,坡道平面,1450000,32.27,
RPROMLSLIIMFFBB08CB,坡道平面,1450000,32.27,
RPRQMLRLIIMFFBB18CB,坡道平面,1500000,32.26,
RPVOMLSLIIMFFBB48CB,坡道平面,1450000,32.26,
RPWOMLSLIIMFFBB58CB,坡道平面,1450000,32.27,
RPWOMLSLIIMFFBB58CB,坡道平面,1450000,32.27,
RPSOMLKMIIMFFBB47CB,坡道機械,650000,24.44,
RPUOMLSLIIMFFBB38CB,坡道平面,1400000,32.26,
RPOPMLMJJIMFFBB17CB,坡道機械,850000,24.45,
RPVQMLMJJIMFFBB97CB,坡道機械,650000,24.45,
RPWQMLMJJIMFFBB08CB,坡道平面,1450000,32.27,
RPOPMLKMIIMFFBB17CB,坡道平面,1400000,32.27,
RPVOMLKMIIMFFBB77CB,坡道機械,850000,24.45,
RPWOMLMJJIMFFBB87CB,坡道機械,850000,24.45,
RPTPMLKMIIMFFBB67CB,坡道機械,650000,24.45,
RPUOMLKMIIMFFBB67CB,坡道平面,1450000,32.27,
RPWOMLKMIIMFFBB87CB,坡道機械,850000,24.45,
RPTOMLKMIIMFFBB57CB,坡道平面,1450000,32.27,
RPORMLMJJIMFFBB37CB,坡道機械,650000,24.45,
RPQPMLOJJIMFFBB57CB,坡道機械,650000,24.45,
RPTPMLOJJIMFFBB87CB,坡道平面,1450000,32.27,
RPVRMLMJJIMFFBB08CB,坡道機械,650000,24.45,
RPURMLMJJIMFFBB97CB,坡道機械,650000,24.45,
RPURMLMJJIMFFBB97CB,坡道機械,850000,24.45,
RPQRMLMJJIMFFBB57CB,坡道平面,1400000,32.27,
RPSPMLOJJIMFFBB77CB,坡道機械,650000,24.45,
RPSPMLOJJIMFFBB77CB,坡道機械,850000,24.45,
RPPRMLMJJIMFFBB47CB,坡道機械,850000,24.45,
RPSRMLMJJIMFFBB77CB,坡道平面,1350000,30.32,
RPRPMLOJJIMFFBB67CB,坡道平面,1450000,32.27,
RPRRMLMJJIMFFBB67CB,坡道機械,650000,24.45,
RPVPMLOJJIMFFBB08CB,坡道機械,850000,24.45,
RPUPMLOJJIMFFBB97CB,坡道平面,1450000,32.27,
RPXPMLOJJIMFFBB28CB,坡道機械,650000,24.45,
RPOQMLOJJIMFFBB47CB,坡道機械,650000,24.45,
RPQQMLOJJIMFFBB67CB,坡道平面,1350000,30.32,
RPPQMLOJJIMFFBB57CB,坡道機械,650000,24.45,
RPWPMLOJJIMFFBB18CB,坡道平面,1350000,30.30,
RPPNMLPJJIMFFBB37CB,坡道平面,1450000,32.27,
RPQNMLPJJIMFFBB47CB,坡道機械,850000,24.45,
RPRNMLPJJIMFFBB57CB,坡道機械,650000,24.45,
RPRNMLPJJIMFFBB57CB,坡道機械,850000,24.45,
RPSNMLPJJIMFFBB67CB,坡道機械,850000,24.45,
RPUNMLPJJIMFFBB87CB,坡道機械,650000,24.45,
RPWNMLPJJIMFFBB08CB,坡道平面,1350000,30.32,
RPTNMLPJJIMFFBB77CB,坡道機械,650000,24.45,
RPVNMLPJJIMFFBB97CB,坡道機械,650000,24.45,
RPSTMLQJJIMFFBB38CB,坡道機械,650000,24.45,
RPQTMLQJJIMFFBB18CB,坡道平面,1400000,32.27,
RPPTMLQJJIMFFBB08CB,坡道機械,650000,24.44,
RPXNMLPJJIMFFBB18CB,坡道機械,850000,24.45,
RPPOMLPJJIMFFBB47CB,坡道平面,1400000,32.27,
RPRTMLQJJIMFFBB28CB,坡道機械,850000,24.44,
RPOTMLQJJIMFFBB97CB,坡道平面,1400000,32.27,
RPOOMLPJJIMFFBB37CB,坡道機械,850000,24.45,
RPXSMLQJJIMFFBB78CB,坡道平面,1350000,30.32,
RPWSMLQJJIMFFBB68CB,坡道機械,650000,24.45,
RPVTMLQJJIMFFBB68CB,坡道平面,850000,24.44,
RPWTMLQJJIMFFBB78CB,坡道平面,1450000,32.26,
RPWTMLQJJIMFFBB78CB,坡道平面,1450000,32.26,
RPTTMLQJJIMFFBB48CB,坡道平面,1400000,32.26,
RPUTMLQJJIMFFBB58CB,坡道平面,1500000,32.27,
RPPUMLQJJIMFFBB18CB,坡道平面,1500000,32.26,
RPPUMLQJJIMFFBB18CB,坡道機械,650000,24.45,
RPPUMLQJJIMFFBB18CB,坡道機械,850000,24.45,
RPUPMLKKJIMFFBB67CB,坡道平面,1500000,38.14,
RPPQMLKKJIMFFBB27CB,坡道機械,850000,24.44,
RPXPMLKKJIMFFBB97CB,坡道平面,1450000,30.32,
RPOUMLQJJIMFFBB08CB,坡道平面,1450000,32.27,
RPVPMLKKJIMFFBB77CB,坡道平面,1450000,32.27,
RPVPMLKKJIMFFBB77CB,坡道平面,650000,24.45,
RPXTMLQJJIMFFBB88CB,坡道平面,1450000,32.27,
RPSQMLKKJIMFFBB57CB,坡道平面,1400000,32.27,
RPSQMLKKJIMFFBB57CB,坡道機械,850000,24.45,
RPSPMLKKJIMFFBB47CB,坡道平面,1450000,32.27,
RPRQMLKKJIMFFBB47CB,坡道機械,850000,24.45,
